Nachkommastellen,Berechnungszeit,Berechnungszeit2
0050,000.000 ms,000.000 ms
0100,000.100 ms,000.100 ms
0150,000.100 ms,000.300 ms
0200,000.200 ms,000.500 ms
0250,000.300 ms,000.900 ms
0300,000.500 ms,001.300 ms
0350,000.900 ms,002.000 ms
0400,001.200 ms,002.801 ms
0450,001.600 ms,003.701 ms
0500,002.100 ms,005.001 ms
0550,002.700 ms,006.401 ms
0600,003.401 ms,008.202 ms
0650,004.301 ms,010.502 ms
0700,005.201 ms,012.803 ms
0750,006.301 ms,015.103 ms
0800,007.502 ms,017.904 ms
0850,008.902 ms,021.705 ms
0900,010.402 ms,025.406 ms
0950,012.303 ms,029.307 ms
1000,014.203 ms,033.708 ms
